,Pk,Player,College,WS/48,draft_class,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
128,54,Tamar Slay,Marshall,-0.029,2002.0,114,102.0,5.5,12.4,0.443,3.3,6.7,0.491,2.2,5.7,0.386,2.5,3.4,0.749,4.4,2.2,1.2,0.5,2.4,2.3,15.7,0.6
129,57,Randy Holcomb,San Diego State,0.15,2002.0,61,60.0,6.3,13.3,0.471,5.8,11.6,0.496,0.5,1.7,0.295,3.4,5.1,0.657,7.9,1.6,0.8,0.8,3.4,2.6,16.4,
130,58,Corsley Edwards,Central Connecticut State University,0.026,2002.0,123,86.0,5.3,10.4,0.509,5.3,10.4,0.51,0.0,0.0,0.0,3.5,5.0,0.688,7.9,0.8,0.9,1.6,2.1,,14.1,-9.87
131,3,Carmelo Anthony,Syracuse,0.12,2003.0,35,35.0,7.9,17.5,0.453,6.3,12.7,0.496,1.6,4.7,0.337,4.8,6.8,0.706,10.0,2.2,1.6,0.9,2.2,2.2,22.2,9.02
132,4,Chris Bosh,Georgia Tech,0.159,2003.0,31,31.0,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.478,4.1,5.6,0.73,9.0,1.2,1.0,2.2,2.3,2.4,15.6,7.94
133,5,Dwyane Wade,Marquette,0.162,2003.0,65,65.0,7.3,14.8,0.494,6.8,13.3,0.512,0.5,1.5,0.333,4.6,6.2,0.745,6.5,3.9,2.3,1.2,3.1,2.4,19.7,6.03
134,6,Chris Kaman,Central Michigan University,0.06,2003.0,83,45.0,5.4,8.8,0.608,5.4,8.8,0.608,0.0,0.0,,4.3,6.0,0.713,8.5,0.8,0.5,2.2,3.1,2.8,15.1,1.05
135,7,Kirk Hinrich,Kansas,0.093,2003.0,141,118.0,4.4,8.8,0.493,2.7,5.0,0.542,1.7,3.9,0.43,2.0,2.6,0.776,3.8,4.7,1.5,0.4,2.7,2.7,12.4,9.68
136,9,Mike Sweetney,Georgetown,0.103,2003.0,96,95.0,6.3,11.6,0.544,6.3,11.6,0.546,0.0,0.0,0.0,5.6,7.7,0.727,9.2,1.8,1.1,1.9,2.5,2.3,18.2,4.02
137,10,Jarvis Hayes,Georgia,0.049,2003.0,56,56.0,7.1,15.0,0.474,5.3,10.0,0.524,1.8,4.9,0.372,2.4,3.1,0.775,4.8,1.8,1.2,0.5,1.8,2.1,18.4,
138,12,Nick Collison,Kansas,0.115,2003.0,142,130.0,6.0,10.7,0.562,5.9,10.3,0.571,0.2,0.5,0.359,2.5,4.0,0.624,8.0,1.8,1.1,1.7,2.4,2.9,14.8,9.68
139,13,Marcus Banks,UNLV,0.057,2003.0,63,63.0,6.0,12.2,0.495,5.0,9.1,0.551,1.0,3.1,0.33,5.0,6.8,0.731,3.3,4.3,2.5,0.2,3.6,2.9,18.1,4.77
140,14,Luke Ridnour,Oregon,0.08,2003.0,96,96.0,4.5,10.5,0.429,2.4,5.0,0.472,2.1,5.4,0.389,3.5,4.1,0.859,3.0,5.2,1.6,0.1,3.2,2.1,14.6,6.98
141,15,Reece Gaines,Louisville,-0.049,2003.0,125,123.0,5.1,11.2,0.452,3.3,6.5,0.502,1.8,4.7,0.383,3.6,4.9,0.75,3.4,3.8,1.5,0.2,2.7,2.5,15.6,7.91
